,overall_rating,potential,international_reputation(1-5),value_euro
131,80,83,1,13000000.0
132,80,81,3,17500000.0
133,80,81,2,17500000.0
134,80,80,3,11500000.0
135,80,80,1,15000000.0
136,80,80,2,16000000.0
137,80,80,1,11500000.0
138,80,83,1,15500000.0
139,80,80,2,8500000.0
140,80,84,2,16000000.0
141,80,84,2,16500000.0
142,80,85,2,14000000.0
143,80,80,2,1000000.0
144,80,80,4,12000000.0
145,80,80,2,6000000.0
146,80,80,2,7000000.0
147,80,80,4,4500000.0
148,80,80,2,9500000.0
149,80,80,3,2000000.0
150,80,80,3,5500000.0
151,80,80,2,4500000.0
152,80,80,3,8500000.0
153,80,80,3,12000000.0
155,80,80,2,11500000.0
156,80,80,3,4500000.0
157,80,80,2,8500000.0
158,80,80,3,9000000.0
159,79,85,1,17500000.0
160,79,79,3,10000000.0
161,79,81,2,15500000.0
162,79,84,3,16500000.0
163,79,82,1,10500000.0
164,79,80,2,15000000.0
165,79,85,1,17500000.0
166,79,83,2,13500000.0
167,79,85,2,14500000.0
168,79,86,1,15000000.0
169,79,84,1,17000000.0
170,79,83,1,13500000.0
171,79,83,1,14000000.0
172,79,84,1,14500000.0
173,79,80,1,11500000.0
174,79,79,2,13000000.0
175,79,79,2,8000000.0
176,79,80,2,11500000.0
177,79,80,2,15000000.0
178,79,79,1,13000000.0
179,79,79,2,13000000.0
180,79,79,1,13000000.0
181,79,79,1,10000000.0
182,79,79,1,8000000.0
183,79,79,2,10000000.0
184,79,79,3,9500000.0
185,79,79,2,12500000.0
186,79,79,2,10500000.0
187,79,79,1,13000000.0
188,79,79,1,13500000.0
189,79,80,2,12000000.0
190,79,79,2,12500000.0
191,78,92,1,20500000.0
192,78,85,1,12500000.0
193,79,79,2,4000000.0
194,79,79,3,6500000.0
195,79,79,4,5000000.0
196,79,79,2,10000000.0
197,79,79,3,10000000.0
198,79,79,2,7000000.0
199,79,79,3,11000000.0
200,79,79,2,8000000.0
201,79,79,3,10000000.0
202,79,79,3,8000000.0
203,79,79,3,11000000.0
204,79,79,2,3000000.0
205,79,79,2,7000000.0
206,79,79,1,6500000.0
207,79,79,3,7000000.0
208,78,84,1,14000000.0
209,78,85,1,14500000.0
210,78,82,1,9500000.0
211,78,81,1,10500000.0
213,78,78,1,8000000.0
214,78,82,1,9500000.0
215,78,81,2,11000000.0
216,78,83,1,14000000.0
217,78,80,2,8500000.0
218,78,81,1,10500000.0
219,78,78,1,7500000.0
220,78,87,2,16000000.0
221,78,84,1,14000000.0
222,78,83,2,14000000.0
223,78,82,1,11000000.0
224,78,81,1,11000000.0
225,78,80,1,10000000.0
226,78,78,2,10500000.0
227,78,80,1,10000000.0
228,78,78,2,11000000.0
229,78,81,2,10500000.0
230,78,80,2,10500000.0
231,78,80,1,10500000.0
232,78,80,1,10500000.0
233,78,80,1,10000000.0
234,78,79,1,8500000.0
235,78,78,2,11000000.0
236,78,79,1,9500000.0
237,78,81,2,13000000.0
238,78,78,2,11000000.0
239,78,83,1,14000000.0
240,78,78,2,6000000.0
241,78,78,2,8000000.0
242,78,78,2,10500000.0
243,78,78,3,6500000.0
244,78,78,2,8000000.0
245,78,78,1,10000000.0
246,78,79,2,12000000.0
247,78,78,2,10500000.0
248,78,78,2,6500000.0
249,78,78,3,6500000.0
251,78,78,2,7500000.0
252,78,78,2,9500000.0
253,78,78,2,9500000.0
254,78,78,2,11000000.0
255,78,78,3,5500000.0
256,77,81,1,10000000.0
257,77,77,1,3600000.0
258,77,77,2,8500000.0
259,77,84,1,10500000.0
260,77,82,1,12000000.0
261,77,77,2,9000000.0
262,77,77,2,8000000.0
263,77,82,2,12000000.0
264,78,78,2,10000000.0
265,78,78,1,6000000.0
266,78,78,2,10500000.0
267,78,78,3,10000000.0
268,78,78,1,8500000.0
269,78,78,1,8500000.0
270,78,78,2,4000000.0
271,78,78,2,10000000.0
272,77,77,2,9000000.0
273,77,82,1,11500000.0
274,77,77,2,5500000.0
275,77,82,2,12000000.0
276,77,77,2,8500000.0
277,77,77,1,8500000.0
278,77,82,1,12000000.0
279,77,80,2,11500000.0
280,77,77,1,9000000.0
281,77,77,1,5500000.0
282,77,79,1,9000000.0
283,77,85,1,11500000.0
284,77,77,1,9500000.0
285,77,82,1,8500000.0
286,77,77,2,5500000.0
287,77,77,2,3600000.0
288,77,83,1,10500000.0
289,77,77,2,6000000.0
290,77,77,3,5000000.0
291,77,78,1,10500000.0
292,77,79,2,9000000.0
293,77,81,2,10000000.0
294,77,78,1,10500000.0
295,77,77,2,5000000.0
296,77,77,2,6000000.0
297,77,77,2,6500000.0
298,77,77,2,4100000.0
299,77,78,2,7000000.0
300,77,77,1,9000000.0
301,77,77,3,9500000.0
302,77,81,1,10000000.0
303,77,84,1,11000000.0
304,77,77,2,3200000.0
305,77,80,2,11500000.0
306,77,77,2,4700000.0
307,77,77,2,6000000.0
308,77,77,2,8500000.0
309,77,77,2,8000000.0
310,77,77,2,2700000.0
311,77,84,1,10500000.0
312,77,78,2,8500000.0
313,77,79,2,9000000.0
314,77,77,2,8500000.0
315,77,77,2,7500000.0
316,77,77,2,2100000.0
317,77,82,2,11500000.0
318,77,79,1,8500000.0
319,77,77,1,7000000.0
320,77,82,1,8500000.0
321,77,80,1,7500000.0
322,77,77,2,7000000.0
323,77,83,1,12500000.0
324,77,79,1,11000000.0
325,77,79,1,9000000.0
326,77,77,2,9000000.0
327,77,77,1,6000000.0
328,77,80,1,11500000.0
329,77,86,2,12000000.0
330,77,77,1,6500000.0
331,77,85,1,11000000.0
332,77,78,1,8500000.0
333,77,82,2,10000000.0
334,77,77,2,6500000.0
335,77,77,2,9000000.0
336,76,76,1,5500000.0
337,76,76,2,3100000.0
338,76,79,3,8000000.0
339,76,76,2,7500000.0
340,76,76,3,7500000.0
341,76,89,1,14000000.0
342,76,76,3,6000000.0
343,76,76,2,6500000.0
344,76,77,1,6000000.0
345,76,76,2,6500000.0
346,76,76,1,8000000.0
347,76,82,1,10500000.0
348,76,77,1,9000000.0
349,76,76,1,8000000.0
350,76,78,1,6500000.0
351,76,76,2,6000000.0
352,76,76,3,7000000.0
353,76,82,2,9000000.0
354,76,76,1,6500000.0
355,76,76,3,8000000.0
356,76,83,1,11000000.0
357,76,76,3,3000000.0
358,76,76,2,6500000.0
359,76,85,1,10500000.0
361,76,81,2,10500000.0
362,76,76,2,6500000.0
363,76,81,1,8500000.0
364,76,82,1,10500000.0
365,76,76,2,7500000.0
366,76,78,1,7500000.0
367,76,83,1,10500000.0
368,76,76,2,8000000.0
369,76,79,1,8000000.0
370,76,76,2,1800000.0
371,76,76,2,7000000.0
372,76,76,1,8000000.0
373,76,84,1,11500000.0
374,76,76,1,6500000.0
375,76,77,1,9000000.0
376,76,76,2,3400000.0
377,76,78,1,7500000.0
378,76,76,2,2300000.0
379,76,76,3,4800000.0
380,76,76,2,3000000.0
381,76,76,2,8000000.0
382,76,76,1,5500000.0
383,76,76,1,4400000.0
384,76,76,1,7000000.0
385,76,76,1,8500000.0
386,76,83,1,11000000.0
387,76,77,2,7500000.0
388,76,77,2,9000000.0
389,76,76,3,6500000.0
390,76,77,2,9000000.0
391,76,76,1,5500000.0
392,76,84,1,11500000.0
393,76,76,1,7500000.0
394,76,84,1,10000000.0
395,76,76,2,8500000.0
396,76,83,2,9500000.0
397,76,76,1,8000000.0
398,76,76,1,4700000.0
399,76,77,1,7500000.0
400,76,85,1,10000000.0
401,76,78,2,8000000.0
402,76,76,2,6000000.0
403,76,76,2,7000000.0
404,76,79,2,8000000.0
405,76,83,1,9500000.0
406,76,77,2,9000000.0
407,76,76,2,5000000.0
408,76,76,1,7500000.0
409,76,85,1,12000000.0
410,76,77,1,7000000.0
411,76,77,1,7500000.0
412,76,76,1,6500000.0
413,76,82,1,10500000.0
414,76,76,2,5000000.0
415,76,79,1,9500000.0
416,76,76,2,3100000.0
417,76,86,1,11000000.0
418,76,80,1,8500000.0
419,76,76,1,5500000.0
420,76,76,2,7500000.0
421,76,84,2,11500000.0
422,76,79,2,6500000.0
423,76,76,2,7000000.0
424,76,79,1,10000000.0
425,76,83,2,10500000.0
426,76,77,1,7500000.0
427,76,77,1,7000000.0
428,76,83,1,11000000.0
429,76,76,2,6000000.0
430,76,88,1,13000000.0
431,76,80,1,10000000.0
432,76,76,2,3100000.0
433,76,78,1,7500000.0
434,76,76,1,5500000.0
435,75,83,1,8500000.0
436,75,78,1,8000000.0
437,75,75,2,5500000.0
438,75,75,1,7000000.0
439,75,78,1,7000000.0
440,75,82,2,9000000.0
441,75,75,2,2700000.0
442,76,76,1,6000000.0
443,76,76,1,3900000.0
444,76,78,1,7500000.0
445,76,78,2,7500000.0
446,76,77,2,8500000.0
447,76,77,2,9000000.0
448,76,76,1,4400000.0
449,76,82,1,9000000.0
450,76,76,1,6000000.0
451,75,82,1,9500000.0
452,75,75,1,5500000.0
453,75,76,1,8000000.0
454,75,76,1,7500000.0
455,75,85,1,9500000.0
456,75,86,1,11500000.0
457,75,78,2,7000000.0
458,75,78,1,5500000.0
459,75,75,1,7000000.0
460,75,75,1,3700000.0
461,75,80,1,7500000.0
462,75,75,1,2700000.0
463,75,76,1,7500000.0
464,75,75,1,7000000.0
465,75,78,1,7000000.0
466,75,76,1,8000000.0
467,75,78,1,8500000.0
468,75,76,1,6500000.0
469,75,83,1,10000000.0
470,75,75,1,7000000.0
471,75,75,2,1600000.0
472,75,79,2,7500000.0
473,75,81,1,9000000.0
474,75,78,1,7000000.0
475,75,75,2,7000000.0
476,75,79,2,8500000.0
477,75,75,2,5000000.0
478,75,75,2,6500000.0
479,75,81,1,9000000.0
480,75,75,2,1900000.0
481,75,75,2,2900000.0
482,75,75,2,5000000.0
483,75,75,1,7000000.0
484,75,81,1,8000000.0
485,75,80,1,7500000.0
486,75,75,1,4000000.0
487,75,79,1,8500000.0
488,75,75,3,5000000.0
489,75,78,1,8500000.0
490,75,75,3,3800000.0
491,75,81,1,9000000.0
492,75,80,1,9000000.0
493,75,75,1,5500000.0
494,75,75,2,5000000.0
495,75,76,2,8000000.0
496,75,75,1,4800000.0
497,75,76,1,6000000.0
498,75,77,1,6500000.0
499,75,80,1,7500000.0
500,75,90,1,13500000.0
501,75,81,1,8000000.0
502,75,80,1,9000000.0
503,75,75,2,5500000.0
504,75,78,2,8500000.0
505,75,75,2,2900000.0
506,75,77,1,7000000.0
507,75,79,1,8500000.0
508,75,75,1,4500000.0
509,75,86,1,11000000.0
511,75,75,1,6500000.0
512,75,75,2,450000.0
513,75,77,1,8000000.0
514,75,81,1,9000000.0
515,75,75,1,6500000.0
516,75,83,1,10000000.0
517,75,84,1,8000000.0
518,75,77,1,6500000.0
519,75,87,1,12000000.0
520,75,82,1,8000000.0
521,75,83,1,10000000.0
522,75,75,2,4800000.0
523,75,85,1,10500000.0
524,75,76,1,6500000.0
525,75,86,1,11500000.0
526,75,82,1,8000000.0
527,75,80,2,8500000.0
528,75,78,2,8000000.0
529,75,75,1,6500000.0
530,75,78,1,8000000.0
531,75,84,1,8500000.0
532,75,75,1,6500000.0
533,75,77,1,8000000.0
534,75,75,1,7000000.0
535,75,75,2,4500000.0
536,75,81,1,8000000.0
537,75,85,1,11000000.0
538,75,75,2,5000000.0
539,75,84,1,9000000.0
540,75,82,1,9000000.0
541,75,80,2,7500000.0
542,75,76,2,6500000.0
543,75,78,1,7000000.0
544,75,75,2,6500000.0
545,75,75,1,4900000.0
546,75,78,2,8500000.0
547,75,77,1,8000000.0
548,75,76,2,6000000.0
549,75,80,1,9000000.0
550,75,78,1,7000000.0
551,75,76,1,8000000.0
552,75,85,1,11000000.0
553,75,75,2,4500000.0
554,75,75,1,5500000.0
555,75,75,1,5500000.0
556,75,76,1,8000000.0
557,75,83,1,8000000.0
558,75,75,2,3800000.0
559,75,76,1,6000000.0
560,75,75,1,7000000.0
561,75,75,2,7000000.0
562,75,78,1,8000000.0
563,74,78,1,7500000.0
564,74,75,1,6500000.0
565,74,77,1,7000000.0
566,74,74,2,4400000.0
567,74,74,1,1700000.0
568,74,81,1,8000000.0
569,74,79,1,6500000.0
570,74,77,2,6000000.0
571,74,77,1,6000000.0
572,74,74,1,4400000.0
573,75,81,1,9000000.0
574,75,75,2,7000000.0
575,75,75,2,6500000.0
577,75,83,1,10000000.0
578,75,75,1,6500000.0
579,74,74,1,6000000.0
580,74,74,2,4200000.0
581,74,74,2,4700000.0
582,74,85,1,8500000.0
583,74,74,1,2800000.0
584,74,80,1,6500000.0
585,74,76,1,5500000.0
586,74,82,1,8500000.0
587,74,79,1,6500000.0
588,74,74,1,3600000.0
589,74,77,1,4700000.0
590,74,74,1,4900000.0
591,74,74,1,5500000.0
592,74,74,1,5500000.0
593,74,74,1,4600000.0
594,74,74,2,1300000.0
595,74,75,1,6500000.0
596,74,86,1,10000000.0
597,74,74,1,5500000.0
598,74,74,1,3600000.0
599,74,74,2,3700000.0
600,74,77,1,7000000.0
601,74,75,2,6500000.0
602,74,74,2,1300000.0
603,74,77,1,6000000.0
604,74,75,1,6500000.0
605,74,74,1,3800000.0
606,74,74,1,5500000.0
607,74,74,1,3800000.0
608,74,74,1,4400000.0
609,74,74,1,5500000.0
610,74,74,1,4900000.0
611,74,74,2,2300000.0
612,74,80,1,6500000.0
613,74,74,1,3800000.0
614,74,74,2,4300000.0
615,74,75,1,7000000.0
616,74,74,1,6000000.0
617,74,85,1,8000000.0
618,74,74,2,1700000.0
619,74,85,1,9500000.0
620,74,74,1,5500000.0
621,74,77,2,7500000.0
622,74,74,1,4200000.0
623,74,74,2,3800000.0
624,74,74,1,4800000.0
625,74,79,1,7500000.0
626,74,74,1,5500000.0
627,74,78,1,7500000.0
628,74,74,1,4400000.0
629,74,79,1,6500000.0
630,74,75,1,5500000.0
631,74,74,1,4600000.0
633,74,74,1,2300000.0
634,74,74,1,3100000.0
635,74,75,1,6500000.0
636,74,74,1,6000000.0
637,74,86,1,10000000.0
638,74,78,1,7500000.0
639,74,74,1,6000000.0
640,74,74,2,1600000.0
641,74,77,1,7000000.0
642,74,77,2,6000000.0
643,74,74,2,5500000.0
644,74,81,1,7000000.0
645,74,79,1,6500000.0
646,74,78,1,6000000.0
648,74,74,2,5500000.0
649,74,74,1,2200000.0
650,74,74,2,4300000.0
651,74,85,1,9500000.0
652,74,81,1,7000000.0
653,74,74,1,5500000.0
654,74,79,1,6500000.0
655,74,74,1,4200000.0
656,74,74,2,1600000.0
657,74,74,2,4400000.0
658,74,74,2,4400000.0
659,74,79,1,7500000.0
660,74,74,1,5500000.0
661,74,74,1,6000000.0
662,74,76,2,7000000.0
663,74,74,1,4400000.0
664,74,74,1,4400000.0
665,74,75,2,6500000.0
666,74,75,1,4400000.0
668,74,75,1,6500000.0
669,74,74,2,4100000.0
670,74,80,1,6500000.0
671,74,74,2,5500000.0
672,74,74,1,4900000.0
673,74,74,1,6000000.0
674,74,75,1,6500000.0
675,74,76,1,7000000.0
676,74,74,1,6000000.0
677,74,74,1,4200000.0
678,74,82,1,7000000.0
679,74,82,1,8500000.0
680,74,79,1,6500000.0
681,74,79,1,7500000.0
682,74,79,1,7500000.0
683,74,74,1,4000000.0
684,74,75,1,4500000.0
685,74,74,2,4100000.0
686,74,81,1,6500000.0
687,74,76,2,7000000.0
688,74,78,1,6000000.0
689,74,78,1,6000000.0
690,74,74,1,3500000.0
691,74,77,1,7000000.0
692,74,79,1,6500000.0
693,74,74,1,4300000.0
694,74,78,2,7500000.0
695,74,74,2,4600000.0
696,74,85,1,9500000.0
697,74,74,1,4400000.0
698,74,74,2,3300000.0
699,74,78,2,6000000.0
700,74,74,2,3800000.0
701,74,74,1,6000000.0
702,74,74,1,6000000.0
703,74,74,1,4400000.0
704,74,74,1,4800000.0
705,74,74,1,3400000.0
706,74,81,1,7000000.0
707,74,78,1,7000000.0
708,74,77,1,7000000.0
709,74,74,2,5500000.0
710,74,74,1,5500000.0
711,74,74,1,2300000.0
712,74,74,2,3200000.0
713,74,81,1,8000000.0
714,74,74,2,5500000.0
715,74,74,2,4900000.0
716,74,84,1,9000000.0
717,74,81,1,7000000.0
718,74,75,1,5000000.0
719,74,74,3,2300000.0
720,74,74,1,4100000.0
721,74,74,1,2300000.0
722,74,74,1,4400000.0
723,73,73,1,4200000.0
724,73,73,1,2000000.0
725,73,73,2,2300000.0
726,73,77,1,3700000.0
727,73,73,1,3900000.0
728,73,73,2,1300000.0
729,73,73,1,3100000.0
730,73,76,1,4200000.0
731,73,77,1,4300000.0
732,73,78,1,5500000.0
733,73,75,1,4800000.0
734,73,73,1,3800000.0
735,73,74,1,3600000.0
736,73,78,1,4500000.0
737,73,81,1,6000000.0
738,73,76,1,5000000.0
739,73,73,2,1200000.0
740,73,78,1,5500000.0
741,73,80,1,5500000.0
742,73,73,1,4200000.0
743,73,77,1,5500000.0
744,73,73,1,3000000.0
745,73,73,2,3200000.0
746,73,73,1,4300000.0
747,73,73,1,4200000.0
748,73,73,1,4100000.0
749,73,82,1,6000000.0
750,73,73,1,4000000.0
751,73,84,1,7000000.0
752,73,78,1,4500000.0
753,73,73,1,4000000.0
754,73,73,1,3900000.0
755,73,74,1,4000000.0
756,73,74,2,4700000.0
757,73,73,1,3800000.0
758,73,74,1,4700000.0
759,73,77,1,4400000.0
760,73,77,1,4300000.0
761,73,73,1,3100000.0
762,73,73,1,3000000.0
763,73,73,1,3400000.0
764,73,75,1,3900000.0
765,73,73,1,3800000.0
766,73,74,1,3800000.0
767,73,73,1,4000000.0
768,73,74,1,3500000.0
769,73,76,1,5000000.0
770,73,80,1,5500000.0
771,73,76,1,3500000.0
772,73,73,1,1800000.0
773,73,73,1,3000000.0
774,73,73,1,270000.0
775,73,83,1,5500000.0
776,73,78,1,5500000.0
777,73,73,1,2600000.0
778,73,84,1,7000000.0
779,73,77,2,4300000.0
780,73,73,1,550000.0
781,73,73,1,2600000.0
782,73,73,1,3300000.0
783,73,73,1,4100000.0
784,73,73,1,3900000.0
785,73,73,1,1900000.0
786,73,81,1,5000000.0
787,73,73,2,3200000.0
788,73,73,2,2700000.0
789,73,87,1,9000000.0
790,73,76,1,4200000.0
791,73,76,1,5000000.0
792,73,73,1,4400000.0
793,73,73,1,2700000.0
794,73,74,1,4800000.0
795,73,73,1,3900000.0
796,73,74,1,4700000.0
797,73,74,1,3800000.0
798,73,73,1,3000000.0
799,73,73,1,2000000.0
800,73,78,1,4500000.0
801,73,73,2,4200000.0
802,73,74,2,4700000.0
803,73,75,1,3300000.0
804,73,73,1,2400000.0
805,73,73,2,3400000.0
806,73,78,1,5500000.0
807,73,76,1,4900000.0
808,73,73,2,2500000.0
809,73,73,1,3200000.0
810,73,74,1,3800000.0
811,73,80,1,4700000.0
812,73,73,1,3000000.0
813,73,73,1,1600000.0
814,73,73,1,3500000.0
815,73,73,1,3600000.0
816,73,78,1,4400000.0
817,73,76,1,4100000.0
818,73,73,1,3500000.0
819,73,73,1,2000000.0
820,73,73,1,2100000.0
821,73,73,1,4200000.0
822,73,73,1,3100000.0
823,73,73,1,3100000.0
824,73,78,1,5500000.0
825,73,73,1,2600000.0
826,73,80,1,5500000.0
827,73,73,1,4300000.0
828,73,73,2,4000000.0
829,73,82,1,4700000.0
830,73,74,1,3200000.0
831,73,73,1,3100000.0
832,73,73,1,2600000.0
833,73,74,2,4700000.0
834,73,77,1,5000000.0
835,73,77,1,4400000.0
836,73,73,1,3100000.0
837,73,85,1,6500000.0
838,73,73,1,3400000.0
839,73,78,1,5500000.0
840,73,73,1,3000000.0
841,73,73,1,3100000.0
842,73,73,1,2300000.0
843,73,73,1,4100000.0
844,73,73,1,3900000.0
845,73,75,1,4800000.0
846,73,83,1,6500000.0
847,73,73,1,3200000.0
848,73,73,1,2700000.0
849,73,79,1,5500000.0
850,73,83,1,6500000.0
851,73,73,1,2900000.0
852,73,84,1,7000000.0
853,73,73,2,4200000.0
854,73,77,1,4300000.0
855,73,76,1,3500000.0
856,73,73,1,3800000.0
857,73,73,1,2400000.0
858,73,78,1,4500000.0
859,73,76,1,4200000.0
860,73,73,1,3000000.0
861,73,82,1,6000000.0
862,73,77,1,5000000.0
863,73,73,2,270000.0
864,73,73,1,3100000.0
865,73,73,1,3200000.0
866,73,73,2,3900000.0
867,73,78,1,5500000.0
868,73,73,1,2000000.0
869,73,73,1,1100000.0
870,73,73,1,1800000.0
871,73,73,1,2000000.0
872,73,73,1,2700000.0
873,73,73,1,4000000.0
874,73,73,2,2700000.0
875,73,79,1,4700000.0
876,73,78,1,4500000.0
877,73,76,1,4100000.0
878,73,74,2,4800000.0
879,73,73,1,3500000.0
880,73,73,1,4000000.0
881,73,79,1,4700000.0
882,73,73,1,3300000.0
883,73,73,2,2000000.0
884,73,78,1,4500000.0
885,73,79,1,5500000.0
886,73,77,1,4400000.0
887,72,72,1,2600000.0
888,72,77,1,4200000.0
889,72,75,1,3900000.0
890,72,72,1,2400000.0
891,72,73,1,3800000.0
892,72,72,1,2400000.0
893,72,72,1,2400000.0
894,72,73,1,3700000.0
895,72,72,1,2400000.0
896,72,72,1,3200000.0
897,72,72,1,2700000.0
898,72,81,1,4800000.0
899,72,75,1,3200000.0
900,72,77,1,3500000.0
901,72,79,1,3700000.0
902,72,72,1,2200000.0
903,72,75,1,3300000.0
904,72,79,1,4400000.0
905,72,72,1,3300000.0
906,72,72,1,1600000.0
907,72,72,2,1000000.0
908,72,77,1,3500000.0
909,72,78,1,4300000.0
910,72,74,1,3700000.0
911,72,72,1,3300000.0
912,72,72,1,2300000.0
913,72,75,1,3900000.0
914,72,72,1,950000.0
915,72,76,1,3400000.0
916,72,75,1,3800000.0
917,72,72,1,2400000.0
918,72,72,2,425000.0
919,72,72,1,3100000.0
920,72,72,1,950000.0
921,72,82,1,5000000.0
922,72,73,2,3700000.0
923,72,72,1,3200000.0
924,72,75,1,3900000.0
925,72,72,2,1300000.0
926,72,75,1,4000000.0
927,72,72,1,2700000.0
928,72,83,1,5500000.0
929,72,77,1,4200000.0
930,72,72,1,3300000.0
931,72,74,1,2600000.0
932,72,72,1,3300000.0
933,72,75,1,4000000.0
934,72,72,1,2900000.0
935,72,72,1,2700000.0
936,72,72,1,2700000.0
937,72,72,1,2400000.0
938,72,73,1,2900000.0
939,72,77,1,3500000.0
941,72,77,1,3500000.0
942,72,80,1,4600000.0
943,72,73,1,3000000.0
944,72,72,1,3200000.0
945,72,88,1,6000000.0
946,72,72,1,3300000.0
947,72,73,1,3600000.0
948,72,72,2,900000.0
949,72,73,1,3600000.0
950,72,87,1,6500000.0
951,72,72,2,950000.0
952,72,72,1,3000000.0
953,72,72,1,2400000.0
954,72,72,1,2300000.0
955,72,75,1,3100000.0
956,72,76,1,4100000.0
957,72,75,1,3900000.0
958,72,72,2,3100000.0
959,72,72,1,2500000.0
960,72,72,1,950000.0
961,72,72,1,2100000.0
962,72,75,1,3300000.0
963,72,78,1,4300000.0
964,72,74,1,3700000.0
965,72,72,2,2300000.0
966,72,77,1,4200000.0
967,72,72,2,1600000.0
969,72,78,1,4300000.0
970,72,83,1,5500000.0
971,72,78,1,4300000.0
972,72,72,1,1800000.0
973,72,76,1,3400000.0
974,72,72,1,3300000.0
975,72,72,1,1400000.0
976,72,72,1,3200000.0
977,72,72,1,2700000.0
978,72,82,1,5000000.0
979,72,76,1,4100000.0
980,72,72,1,2800000.0
981,72,72,2,425000.0
982,72,72,2,1800000.0
983,72,72,1,1900000.0
985,72,72,1,2600000.0
986,72,72,1,425000.0
987,72,72,1,2400000.0
988,72,85,1,5500000.0
990,72,77,1,4100000.0
991,72,80,1,4600000.0
992,72,74,1,3100000.0
993,72,72,1,2000000.0
994,72,78,1,4300000.0
995,72,72,2,2500000.0
996,72,72,3,210000.0
997,72,72,1,2000000.0
998,72,76,1,4100000.0
999,72,72,1,3300000.0
1000,72,81,1,4100000.0
1001,72,77,1,4100000.0
1002,72,76,1,3300000.0
1003,72,79,1,4400000.0
1004,72,72,1,3400000.0
1005,72,75,1,3200000.0
1006,72,73,1,3700000.0
1007,72,72,1,3000000.0
1009,72,72,1,2100000.0
